CategorieMembre,NomEntreprise,Type,SecteurActivite,Adresse,Municipalite,CodePostal,SiteWeb
Partenaire COLLECTIF,Coopérative de solidarité sociale Adirondak,cooperative-de-solidarite,autre,"911, rue Notre-Dame-Sud",Louiseville,J5V2L4,www.coopadirondak.ca
Citoyen COLLECTIF,Andréanne Dubois,autre,service-professionnels-scientifiques-techniques,"4710, rue Papineau",Trois-Rivières,G8Y3Y8,
Membre COLLECTIF,Aide chez soi Mékinac,obnl-a-volet-marchand,soins-de-sante-et-assistance-sociale,"301 rue St-Jacques, bureau 201",Sainte-Thècle,G0X3G0,www.aidesmekinac.ca
Membre COLLECTIF,Corporation Halte Camping du Lac Clair et Lac Roberge (Aire Nature Grandes-Piles),obnl-a-volet-marchand,autre,"650, 4e avenue, bureau 7",Grandes-Piles,G0X1H0,airenature.com
Membre COLLECTIF,"À la Fût, coop de travail brassicole",cooperative-de-travail,fabrication,670 rue Notre-Dame,Saint-Tite,G0X3H0,www.alafut.qc.ca
Membre COLLECTIF,Alex Legault inc,autre,finance-et-assurances,1200 20e Avenue,Shawinigan,G9T7G9,
Membre COLLECTIF,Chez Grace,obnl-a-volet-marchand,hebergement-et-restauration,591 5e rue de la pointe,Shawinigan,G9T2T3,restaurantchezgrace.com/chez-grace
Membre COLLECTIF,LÜDIQ,obnl-a-volet-marchand,immobilier-et-location,391 rue principale,Batiscan,G0X1A0,
Partenaire COLLECTIF,Comité de Développement Local et Régional FTQ Mauricie et Centre-du-Québec,autre,autre,7080 Rue Marion,Trois-Rivières,G9A6G4,mauriciecentreqc.ftq.qc.ca
Membre COLLECTIF,Association des proches aidants de l'Énergie,obnl-a-volet-marchand,soins-de-sante-et-assistance-sociale,1660 10e avenue,Shawinigan,G9R1N2,prochesaidantsshawinigan.ca
Membre COLLECTIF,Atelier Silex,obnl-a-volet-marchand,autre,"1095, rue Père-Frédéric",Trois-Rivières,G9A3S5,ateliersilex.org
Membre COLLECTIF,"Bleu forêt, coopérative de communication responsable",cooperative-de-travail,service-professionnels-scientifiques-techniques,"151, rue Saint-Pierre",Saint-Élie-de-Caxton,G0X2N0,bleu-foret.ca
Partenaire COLLECTIF,Carrefour d'action bénévole du Haut St-Maurice,mrc-mekinac,autre,"539, St-Antoine",La Tuque,G9X2Y5,www.cabhsm.org
Partenaire COLLECTIF,Corporation de développement communautaire des Chenaux,mrc-mekinac,autre,"14, du Bocage",Sainte-Geneviève-de-Batiscan,G0X2R0,www.cdcdeschenaux.ca
Partenaire COLLECTIF,Corporation de développement communautaire Mékinac,obnl-a-volet-marchand,autre,301 rue St-Jacques bureau 215,Sainte-Thècle,G0X3G0,www.cdcmekinac.org
Partenaire COLLECTIF,CDC de Shawinigan,mrc-mekinac,autre,"520, avenue Broadway",Shawinigan,G9N1M3,www.cdcshawinigan.ca
Partenaire COLLECTIF,CDEC de Trois-Rivières,mrc-mekinac,service-professionnels-scientifiques-techniques,"1060, rue Saint-François-Xavier, bureau 310",Trois-Rivières,G9A1R8,www.cdectr.ca
Membre COLLECTIF,Communo-Gym,obnl-a-volet-marchand,autre,1060 St-François-Xavier,Trois-Rivières,G9A1R8,comsep.qc.ca/comsep-1/communo-gym
Membre COLLECTIF,COOP ETC,cooperative-de-solidarite,service-denseignement,444 BOSTONNAIS,La Tuque,G9X2G7,
Membre COLLECTIF,Coopérative de solidarité Santé Le Rocher,cooperative-de-solidarite,soins-de-sante-et-assistance-sociale,"1050, 8e Rue",Shawinigan,G9T4L4,cooplerocher.com
Membre COLLECTIF,Coop Nitaskinan,cooperative-de-solidarite,service-professionnels-scientifiques-techniques,"500, avenune Broadway, bureau 001",Shawinigan,G9N1M3,coopnitaskinan.com
Membre COLLECTIF,Coopérative de solidarité Les Grès,cooperative-de-solidarite,immobilier-et-location,"190 St-Honoré, bureau 202",Saint-Etienne-des-Grès,G0X2P0,
Membre COLLECTIF,Radio Country Pop,obnl-a-volet-marchand,autre,"47, rue Saint-Thomas",Louiseville,J5V2A3,www.countrypop.ca
Membre COLLECTIF,Centre Roland-Bertrand,obnl-a-volet-marchand,commerce-de-detail,"1895, avenue Champlain",Shawinigan,G9N0G4,centrerolandbertrand.com
Membre COLLECTIF,Corporation de transports collectifs et adaptés de la MRC de Maskinongé,obnl-a-volet-marchand,transport-et-entreposage,"264, avenue St-Laurent",Louiseville,J5V1J9,www.ctcmaskinonge.org
Partenaire COLLECTIF,Digihub,obnl-a-volet-marchand,autre,"1250, avenue de la Station",Shawinigan,G9N8K9,digihub.ca
Membre COLLECTIF,Centre d'action bénévole du Rivage,obnl-a-volet-marchand,commerce-de-detail,"1 rue Fusey, local 101",Trois-Rivières,G8T2T2,cabdurivage.org
