"NomEntreprise","Adresse","Municipalite","CodePostal","Territoire","SiteWeb","NEQ","CategorieMembre","Type","SecteurActivite","lat","long"
"L'orchestre symphonique de Trois-Rivières inc.","100-190 RUE Bonaventure","Trois-Rivières","G9A5K8","Trois-Rivières","ostr.ca",1142934315,NA,NA,NA,46.344466,-72.54447
"Club de golf le St-Rémi","660 ch. Saint-Charles","Lac-aux-Sables","G0X1M0","Mékinac","www.golfstremi.com/parcours/tawachiche",NA,NA,NA,NA,46.855205,-72.447788
"Coopérative d'habitation Place Soleil de Trois-Rivières","17-3900 rue Louis-Pinard","Trois-Rivières","G8Y4L9","Trois-Rivières",NA,NA,NA,NA,NA,46.350048,-72.589943
"Maison Origami, coopérative de solidarité","3845 rue de Turenne","Trois-Rivières","G8Y6K6","Trois-Rivières",NA,NA,NA,NA,NA,46.342008,-72.61627
"Club Anowepo","42 rue Radisson","La Tuque","G9X3M1","La Tuque","www.clubanowepo.ca",1148207609,NA,NA,NA,47.430641,-72.793625
"Recycle 3R Mauricie","1090 rue De La Vérendrye","Trois-Rivières","G9A2S8","Trois-Rivières",NA,1170555792,NA,NA,NA,46.339918,-72.555037
"Coopérative de solidarité Cent-Arts","1525 rue Laviolette","Trois-Rivières","G9A1W5","Trois-Rivières","cent-arts.ca",1160439585,NA,NA,NA,46.352942,-72.550853
"Association coopérative d'économie familiale de la Mauricie (ACEF)","274 rue Bureau","Trois-Rivières","G9A2M7","Trois-Rivières","www.v3r.net/activites-et-loisirs/repertoire-des-organismes/association-cooperative-deconomie-familiale-de-la-mauricie-acef",1142205971,NA,NA,NA,46.339165,-72.544515
"Résidence Christ-Roi","1190 Rue Notre Dame","Shawinigan","G9N3S4","Shawinigan","residencechristroi.ca",1148828750,NA,NA,NA,46.559267,-72.738699
"Centre Landry","1954 rue Saint-François-d'Assise","Trois-Rivières","G9A1N5","Trois-Rivières","centrelandry.com",NA,NA,NA,NA,46.357316,-72.551635
"Musée Pierre Boucher","858 rue Laviolette","Trois-Rivières","G9A5J1","Trois-Rivières","www.museepierreboucher.com",1142324814,NA,NA,NA,46.349071,-72.544762
"Taxis coop de la Mauricie 1992","3055 boulevard des Forges","Trois-Rivières","G8Z1V4","Trois-Rivières","taxiscoopmauricie.com",1144338176,NA,NA,NA,46.348136,-72.569759
"Groupe RCM inc.","2390 RUE Louis-Allyson","Trois-Rivières","G8Z4P3","Trois-Rivières","www.groupercm.com",1142961417,NA,NA,NA,46.338374,-72.575877
"Sanatorium historique Lac Édouard","400 RUE Principale","Lac-Édouard","G0X3N0","La Tuque","lesan.org",1169780401,NA,NA,NA,47.653509,-72.282506
"Hébergement adapté et supervisé des Chenaux","44 rang de la Rivière-à-Veillet","Sainte-Geneviève-de-Batiscan","G0X2R0","Des Chenaux",NA,1172507973,NA,NA,NA,46.564545,-72.341041
"Coopérative d'utilisation de machinerie agricole Des Rivières","2411 ch. Saint-Thomas","Sainte-Thècle","G0X3G0","Mékinac","www.cumacanada.ca",1144512606,NA,NA,NA,46.804327,-72.465105
"CPE La Maisonnée","108-1800 rue Saint-Paul","Trois-Rivières","G9A1J7","Trois-Rivières",NA,NA,NA,NA,NA,46.352001,-72.542584
"Promutuel Portneuf-Champlain","439 Rue Barkoff","Trois-Rivières","G8T2A5","Trois-Rivières","www.promutuelassurance.ca/fr/portneuf-champlain",1179385829,NA,NA,NA,46.374372,-72.553577
"La société Saint-Vincent de Paul de Trois-Rivières","2580 rue Royale","Trois-Rivières","G9A4L5","Trois-Rivières","www.ssvp-quebec.ca/accueil",1143525286,NA,NA,NA,46.334293,-72.549379
"Coopérative de solidarité santé Les Grès","202-190 rue Saint-Honoré","Saint-Étienne-des-Grès","G0X2P0","Maskinongé","www.cliniquemedicalelesgres.ca",1143026178,NA,NA,NA,46.442927,-72.770441
"Centre d'escalade La Tuque","380 rue Jacques-Buteux","La Tuque","G9X2C6","La Tuque","escaladelatuque.wixsite.com",NA,NA,NA,NA,47.444868,-72.773964
"Radio Shawinigan Inc.","636 5e rue de la Pointe","Shawinigan","G9N8N9","Shawinigan","shawi.countrypop.ca",1162336854,NA,NA,NA,46.540508,-72.749613
"Festival international de Danse Encore","230-1180 RUE Royale","Trois-Rivières","G9A4J1","Trois-Rivières","dansencore.ca",1145440229,NA,NA,NA,46.339595,-72.545861
"Coop de solidarité Coasis","100-7B ch. Masse","Trois-Rivières","G8W1H2","Trois-Rivières",NA,1176409085,NA,NA,NA,46.385461,-72.574385
"La Fenêtre centre d'immersion aux arts","108 boul. Sainte-Madeleine","Trois-Rivières","G8T3L3","Trois-Rivières","lafenetre3r.org",1147940937,NA,NA,NA,46.364237,-72.511535
"Coopérative universitaire de Trois-Rivières","3351 boul. des Forges","Trois-Rivières","G8Z4M3","Trois-Rivières","cooputr.qc.ca",1141223231,NA,NA,NA,46.348038,-72.57778
"Corporation TGV Net Mauricie","1250 avenue de la Station","Shawinigan","G9N8K9","Shawinigan","www.tgvnet.ca",NA,NA,NA,NA,46.545617,-72.749825
"Au grenier du sport Grand-Mère","1580 10e Avenue","Shawinigan","G9T1V4","Shawinigan",NA,NA,NA,NA,NA,46.60829,-72.70817
"Coopérative funéraire de la Mauricie","2280 105e Avenue","Shawinigan","G9P1P1","Shawinigan","www.cooperativefunerairemauricie.com",NA,NA,NA,NA,46.517831,-72.742207
"Coopérative d'habitation ""La Rose des Vents"" de Shawinigan-Sud","95 Rue Pruneau","Shawinigan","G9P4V8","Shawinigan",NA,1144310977,NA,NA,NA,46.525428,-72.734388
"Atelier Chocolaté, une division de l'Atelier des Vieilles Forges","802 Pl. Boland","Trois-Rivières","G8Z4H2","Trois-Rivières",NA,NA,NA,NA,NA,46.339383,-72.580922
"Les amis du hameau de la rivière St-Maurice Maikan","2206 boul. des Chenaux","Trois-Rivières","G9A1A1","Trois-Rivières",NA,1165515009,NA,NA,NA,46.363921,-72.552661
"Les trouvailles de Mékinac","752 boul. Saint-Joseph","Saint-Tite","G0X3H0","Mékinac","www.cabmekinac.org",NA,NA,NA,NA,46.726012,-72.55815
