"NEQ","NomEntreprise","Adresse","Municipalite","Adresse_Lign3","CodePostal","SecteurActivite","FormeJuridique","lat","long"
1140139735,"ORGANISATION DES TERRAINS DE JEUX ET DE LOISIRS DE ST-ROCH-DE-MÉKINAC","1216 rue Principale","Saint-Roch-de-Mékinac (Québec)",NA,"G0X2E0","ORGANISER DES JEUX POUR PETITS ET GRAND BÉNÉVOLEMENT","APE",46.811277,-72.768774
1140176141,"SOCIÉTÉ D'HABITATION COMMUNAUTAIRE DU CENTRE DU QUÉBEC","897 rue Saint-Pierre","Trois-Rivières (Québec)",NA,"G9A4W5","RÉSIDENCE PERSONNES ÂGÉES","APE",46.343491,-72.539014
1140191793,"CENTRE DE LA PETITE ENFANCE L'ARBRE ENCHANTÉ","455 rue des Vétérans","Trois-Rivières (Québec)",NA,"G8T2W8","SERVICE DE GARDE À L'ENFANCE","APE",46.377324,-72.50983
1140339996,"ASSOCIATION CHASSE ET PÊCHE BORDURE DU PARC","131 rue des Merisiers","Notre-Dame-du-Mont-Carmel (Québec)",NA,"G0X3J0","PROMOUVOIR LA CHASSE","APE",46.446758,-72.72215
1140384190,"CLUB LOA","1895 rue Groulx","Trois-Rivières (Québec)",NA,"G8Y5S1","LOISIRS - CHASSE & PÊCHE","APE",46.370225,-72.618934
1140326670,"FONDATION DU COLLÈGE SHAWINIGAN","2263 av. du Collège","Shawinigan (Québec)",NA,"G9N6V8","OEUVRER À TITRE D'ORGANISME DE CHARITÉ RECONNU","APE",46.564126,-72.7528
1140875007,"LES PRODUCTIONS THÉÂTRALES TGP","70 rue Langelier","Trois-Rivières (Québec)",NA,"G8W1S9","PROMOUVOIR LE THÉÂTRE AMATEUR DANS LA RÉGION DE TROIS-RIVIÈRES","APE",46.375917,-72.572008
1140885568,"C.P.E. SAUTE-MOUTON INC.","3525, BOUL. LAVIOLETTE","TROIS-RIVIÈRES (QUÉBEC)",NA,"G8Z1E9","SERVICE DE GARDE EDUCATIFS POUR LES ENFANTS 0-5 ANS EN INSTALLATIONS","APE",46.35955,-72.569517
1140844490,"FONDATION DU MUSÉE QUÉBÉCOIS DE CULTURE POPULAIRE","200 rue Laviolette","Trois-Rivières (Québec)",NA,"G9A6L5","FONDATION","APE",46.344564,-72.540354
1140847824,"CLUB DE L'ÂGE D'OR DE ST-MATHIEU-DU-PARC","1791 ch. Principal","Saint-Mathieu-du-Parc (Québec)",NA,"G0X1N0","BASEBALL-POCHE TOUS LES VENDREDIS (EXCEPTÉ JUILLET ET AOÛT), Scrabble","APE",46.572854,-72.923029
1140814063,"CENTRE D'ASSISTANCE ET D'ACCOMPAGNEMENT AUX PLAINTES - MAURICIE ET CENTRE-DU-QUÉBEC","100-7175 rue Marion","Trois-Rivières (Québec)",NA,"G9A5Z9","Aide aux plaignants (contre établissements de santé ou services sociaux)","APE",46.325362,-72.580351
1141105917,"Facile d'accès La Tuque","630 RUE Réal","La Tuque (Québec)",NA,"G9X2R9","Centre de jour pour ceux qui séjournent ou ont séjourné en psychiatrie","APE",47.436671,-72.780318
1141086745,"SYNDICAT DU PERSONNEL PROFESSIONNEL DE L'UNIVERSITÉ DU QUÉBEC À TROIS-RIVIÈRES","3351 boul. des Forges","Trois-Rivières (Québec)",NA,"G8Z4M3","SYNDICAT D'EMPLOYÉS PROFESSIONNELS, DÉFENSE DES DROITS DES MEMBRES","APE",46.348038,-72.57778
1141088840,"CENTRE L'ÉTAPE DU BASSIN DE MASKINONGÉ INC.","134, AVENUE SAINT-LAURENT","LOUISEVILLE (QUÉBEC)",NA,"J5V1J7","PRÉVENIR ET COMBATTRE LES PROBLÈMES RELIÉS À LA TOXICOMANIE","APE",46.255989,-72.94301
1141039280,"CENTRE NATIONAL EN ÉLECTROCHIMIE ET EN TECHNOLOGIES ENVIRONNEMENTALES INC","2263 av. du Collège","Shawinigan (Québec)",NA,"G9N6V8","RECHERCHE","APE",46.564126,-72.7528
1141091737,"CORPORATION DU PONT RIVIÈRE-AUX-RATS","375 rue Saint-Joseph","La Tuque (Québec)",NA,"G9X1L5","GESTION ET ENTRETIEN D'UN PONT À PÉAGE","APE",47.440711,-72.781489
1141040395,"CENTRE DE LA PETITE ENFANCE FLOCONS DE RÊVE INC.","1875 rue Notre-Dame","Saint-Maurice (Québec)",NA,"G0X2X0","CENTRE DE LA PETITE ENFANCE (MILIEU FAMILIAL ET INSTALLATION)","APE",46.47458,-72.540667
